Zen2 measurement skipped.
   |-- Port01 FP (2 read op) --|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
125|VORPD y<-y1 y1             |   100122,   500092,   300070,   504495,   500055,  1250119,  1053316,  1083656,  1200169,  1243644,  1492025,  1221037,  1200206,  1605726,   800125,  1033595,
126|VORPS x<-x1 x1             |   100159,   500055,   300107,   500055,   500055,  1300180,  1051503,  1053168,  1228474,  1251340,  1491803,  1200132,  1228400,  1600102,   800199,  1100232,
127|VORPS y<-y1 y1             |   100159,   500092,   300033,   500055,   500055,  1300180,  1050171,  1053205,  1223183,  1240832,  1492210,  1200169,  1200132,  1611498,   800162,  1050208,
128|VXORPD x<-x1 x2            |   100159,   500092,   300144,   500055,   500055,  1250193,  1155584,  1192547,  1304509,  1375364,  1709844,  1250119,  1266843,  1605578,   800162,  1039848,
129|VXORPD y<-y1 y2            |   100159,   504606,   300070,   500092,   500055,  1250193,  1156398,  1192584,  1300143,  1375253,  1718132,  1250119,  1256002,  1600213,   800125,  1033521,
130|VXORPS x<-x1 x2            |   100159,   500055,   300144,   500092,   500055,  1300143,  1156287,  1192510,  1250193,  1375734,  1722424,  1250119,  1258444,  1605578,   800125,  1100195,
131|VXORPS y<-y1 y2            |   100122,   500055,   304806,   500092,   500092,  1300143,  1155584,  1192547,  1290153,  1375623,  1717540,  1302252,  1300180,  1605726,   800236,  1050208,
132|VBLENDPD x<-x1 x1 i        |   100122,   500092,   300107,   500055,   500129,  1300143,  1052021,  1052465,  1200206,  1276870,  1300328,  1200132,  1200206,  1600176,   800162,  1100121,
133|VBLENDPD y<-y1 y1 i        |   100122,   500055,   300033,   500055,   500055,  1250193,  1035852,  1052021,  1225144,  1231397,  1491988,  1200132,  1200206,  1600250,   800199,  1066858,
   |------- Port0123 Int ------|--LATENCY--IIDOMAIN--FFDOMAIN--IFDOMAIN--FIDOMAIN-----GPR-------PORT0----PORT1-----PORT01----PORT03-----PORT2----PORT12----PORT23--PORT0123----PORT45------LDs-
135|VPAND x<-x1 x1             |   100159,   300107,   500092,   500055,   500055,  1250193,  1057275,  1053908,  1225218,  1243607,  1381617,  1220186,  1200169,  1600139,   800125,  1033484,
136|VPAND y<-y1 y1             |   100159,   300070,   500092,   500055,   500129,  1250119,  1051466,  1053205,  1239611,  1243607,  1491877,  1200169,  1200206,  1600213,   800125,  1033484,
137|VPANDN x<-x1 x2            |   100159,   300144,   500055,   500055,   500055,  1300143,  1156361,  1192584,  1250267,  1375734,  1717466,  1259036,  1257482,  1600176,   800125,  1100158,
138|VPANDN y<-y1 y2            |   100196,   300107,   500055,   500129,   500129,  1300180,  1157915,  1192584,  1258000,  1398156,  1724422,  1250119,  1250156,  1600139,   800125,  1050208,
139|VPOR x<-x1 x1              |   100233,   300070,   500055,   500092,   500092,  1250193,  1050171,  1053205,  1225107,  1243533,  1414843,  1220186,  1200206,  1600213,   800125,  1033484,
140|VPOR y<-y1 y1              |   100196,   300107,   500055,   500092,   500092,  1250193,  1051503,  1053871,  1228992,  1243607,  1491877,  1211306,  1238205,  1606096,   800162,  1033484,
